country,skill,count
at,sql,20
at,python,13
at,sap,12
at,power_bi,10
at,excel,9
at,machine_learning,5
at,azure,4
at,scikit_learn,3
at,ssis,2
at,pytorch,2
at,r,2
at,aws,2
at,docker,2
at,bigquery,2
at,git,2
at,java,2
at,statistics,1
at,tensorflow,1
at,gitlab,1
at,gcp,1
at,databricks,1
at,snowflake,1
at,kubernetes,1
at,spark,1
at,matlab,1
at,github,1
at,looker,1
at,jira,1
at,sas,1
at,dbt,1
at,confluence,1
be,power_bi,69
be,sql,51
be,machine_learning,37
be,python,29
be,azure,22
be,databricks,20
be,excel,20
be,sap,17
be,snowflake,8
be,tableau,8
be,dbt,8
be,scala,7
be,spark,6
be,aws,6
be,git,6
be,r,5
be,gcp,4
be,deep_learning,4
be,qlik,4
be,statistics,3
be,kubernetes,3
be,scikit_learn,3
be,sas,3
be,nlp,2
be,docker,2
be,pytorch,2
be,tensorflow,2
be,vba,2
be,java,2
be,airflow,1
be,hadoop,1
be,github,1
be,salesforce,1
be,keras,1
ch,machine_learning,16
ch,qlik,9
ch,sql,8
ch,power_bi,6
ch,databricks,5
ch,statistics,5
ch,python,5
ch,aws,4
ch,azure,4
ch,sap,3
ch,nlp,3
ch,java,3
ch,excel,2
ch,docker,1
ch,powerpoint,1
ch,spss,1
ch,dbt,1
ch,r,1
ch,spark,1
ch,salesforce,1
ch,bigquery,1
ch,gcp,1
ch,deep_learning,1
ch,git,1
ch,github,1
ch,tableau,1
de,sql,141
de,python,139
de,power_bi,94
de,machine_learning,94
de,sap,65
de,excel,46
de,azure,40
de,databricks,28
de,aws,23
de,tableau,22
de,spark,20
de,pytorch,18
de,gcp,17
de,qlik,16
de,scikit_learn,16
de,tensorflow,15
de,bigquery,15
de,git,15
de,dbt,14
de,airflow,14
de,java,13
de,snowflake,13
de,statistics,12
de,r,11
de,nlp,10
de,docker,10
de,deep_learning,9
de,kubernetes,8
de,sas,7
de,looker_studio,7
de,scala,7
de,jira,5
de,github,5
de,hadoop,5
de,xgboost,4
de,keras,4
de,alteryx,4
de,gitlab,4
de,looker,4
de,vba,3
de,kafka,3
de,spss,3
de,salesforce,3
de,powerpoint,2
de,ssis,2
de,synapse,2
de,talend,1
de,superset,1
de,metabase,1
de,matlab,1
dk,sql,1
dk,python,1
dk,excel,1
es,machine_learning,48
es,sql,14
es,power_bi,13
es,python,13
es,spark,10
es,azure,7
es,databricks,6
es,excel,4
es,tableau,3
es,bigquery,3
es,scala,2
es,aws,2
es,r,2
es,qlik,2
es,snowflake,2
es,git,2
es,ssis,1
es,tensorflow,1
es,powerpoint,1
es,metabase,1
es,nlp,1
es,sap,1
es,hadoop,1
es,scikit_learn,1
es,salesforce,1
es,dbt,1
es,deep_learning,1
es,superset,1
es,kafka,1
es,github,1
es,statistics,1
es,pytorch,1
es,airflow,1
fr,sql,108
fr,python,101
fr,machine_learning,81
fr,power_bi,80
fr,tableau,43
fr,gcp,37
fr,azure,30
fr,git,29
fr,deep_learning,25
fr,excel,24
fr,spark,22
fr,aws,22
fr,bigquery,22
fr,scikit_learn,17
fr,docker,16
fr,tensorflow,15
fr,pytorch,14
fr,snowflake,13
fr,nlp,11
fr,databricks,11
fr,looker,11
fr,airflow,10
fr,dbt,10
fr,gitlab,9
fr,looker_studio,9
fr,qlik,8
fr,talend,8
fr,kubernetes,7
fr,jira,7
fr,java,7
fr,sap,6
fr,github,6
fr,sas,6
fr,hadoop,4
fr,alteryx,4
fr,confluence,3
fr,ssis,3
fr,statistics,2
fr,r,2
fr,salesforce,2
fr,synapse,1
fr,scala,1
fr,redshift,1
fr,keras,1
fr,xgboost,1
fr,vba,1
fr,powerpoint,1
fr,kafka,1
it,machine_learning,49
it,gcp,15
it,python,14
it,power_bi,13
it,azure,11
it,sql,11
it,deep_learning,10
it,excel,5
it,sap,4
it,tableau,4
it,qlik,4
it,scikit_learn,2
it,nlp,2
it,java,2
it,databricks,2
it,looker,1
it,sas,1
it,bigquery,1
it,scala,1
nl,machine_learning,59
nl,power_bi,42
nl,azure,33
nl,sql,33
nl,python,32
nl,databricks,14
nl,sap,8
nl,spark,8
nl,snowflake,7
nl,excel,7
nl,git,6
nl,r,6
nl,aws,6
nl,dbt,6
nl,tableau,5
nl,statistics,5
nl,java,5
nl,gcp,4
nl,nlp,4
nl,xgboost,3
nl,deep_learning,3
nl,scikit_learn,3
nl,spss,2
nl,qlik,2
nl,pytorch,2
nl,tensorflow,2
nl,kubernetes,2
nl,github,2
nl,docker,2
nl,vba,1
nl,bigquery,1
nl,looker,1
nl,sas,1
nl,hadoop,1
nl,synapse,1
nl,ssis,1
nl,matlab,1
nl,scala,1
pl,sql,81
pl,machine_learning,68
pl,python,62
pl,power_bi,34
pl,docker,23
pl,aws,20
pl,azure,19
pl,databricks,16
pl,spark,13
pl,gcp,12
pl,tensorflow,11
pl,pytorch,11
pl,kubernetes,10
pl,sas,9
pl,java,9
pl,scala,8
pl,scikit_learn,8
pl,snowflake,8
pl,looker,8
pl,nlp,7
pl,sap,7
pl,excel,7
pl,looker_studio,6
pl,dbt,6
pl,statistics,5
pl,git,5
pl,xgboost,5
pl,airflow,5
pl,tableau,4
pl,jira,4
pl,bigquery,3
pl,r,3
pl,deep_learning,3
pl,salesforce,3
pl,hadoop,2
pl,kafka,2
pl,confluence,2
pl,qlik,2
pl,powerpoint,1
pl,alteryx,1
pl,vba,1
pl,redshift,1
pl,github,1
pt,sql,1
pt,power_bi,1
pt,kafka,1
pt,excel,1
pt,python,1
pt,confluence,1
pt,gcp,1
pt,jira,1
pt,bigquery,1
